ModbusRTU;Inverter;Delta;M88H;;;;;;;
138;3;40228;U16;;ID;;1.0;0.0;;4
139;3;40229;U16;;L;;1.0;0.0;;4
140;3;40230;U16;;Conn_WinTms;;1.0;0.0;Secs;0
141;3;40231;U16;;Conn_RvrtTms;;1.0;0.0;Secs;0
142;3;40232;U16;;Conn;;1.0;0.0;;4
143;3;40233;U16;;WMaxLimPct;;1.0;0.0;% WMax;4
144;3;40234;U16;;WMaxLimPct_WinTms;;1.0;0.0;Secs;0
145;3;40235;U16;;WMaxLimPct_RvrtTms;;1.0;0.0;Secs;0
146;3;40236;U16;;WMaxLimPct_RmpTms;;1.0;0.0;Secs;4
147;3;40237;U16;;WMaxLim_Ena;;1.0;0.0;;4
148;3;40238;I16;;OutPFSet;;1.0;0.0;cos();4
149;3;40239;U16;;OutPFSet_WinTms;;1.0;0.0;Secs;0
150;3;40240;U16;;OutPFSet_RvrtTms;;1.0;0.0;Secs;0
151;3;40241;U16;;OutPFSet_RmpTms;;1.0;0.0;Secs;4
152;3;40242;U16;;OutPFSet_Ena;;1.0;0.0;;4
153;3;40243;I16;;VArWMaxPct;;1.0;0.0;% WMax;4
154;3;40244;I16;;VArMaxPct;;1.0;0.0;% VArMax;0
155;3;40245;I16;;VArAvalPct;;1.0;0.0;% VArAval;0
156;3;40246;U16;;VArPct_WinTms;;1.0;0.0;Secs;0
157;3;40247;U16;;VArPct_RvrtTms;;1.0;0.0;Secs;0
158;3;40248;U16;;VArPct_RmpTms;;1.0;0.0;Secs;4
159;3;40249;U16;;VArPct_Mod;;1.0;0.0;;4
160;3;40250;U16;;VArPct_Ena;;1.0;0.0;;4
161;3;40251;I16;;WMaxLimPct_SF;;1.0;0.0;;4
162;3;40252;I16;;OutPFSet_SF;;1.0;0.0;;4
163;3;40253;I16;;VArPct_SF;;1.0;0.0;;4
164;3;40254;U16;;ID;;1.0;0.0;;4
165;3;40255;U16;;L;;1.0;0.0;;4
166;3;40256;U16;;ActCrv;;1.0;0.0;;4
167;3;40257;U16;;ModEna;;1.0;0.0;;4
168;3;40258;U16;;WinTms;;1.0;0.0;Secs;0
169;3;40259;U16;;RvrtTms;;1.0;0.0;Secs;0
170;3;40260;U16;;RmpTms;;1.0;0.0;Secs;4
171;3;40261;U16;;NCrv;;1.0;0.0;;4
172;3;40262;U16;;NPt;;1.0;0.0;;4
173;3;40263;I16;;V_SF;;1.0;0.0;;4
174;3;40264;I16;;DeptRef_SF;;1.0;0.0;;4
175;3;40265;I16;;RmpIncDec_SF;;1.0;0.0;;0
176;3;40266;U16;;ActPt;;1.0;0.0;;4
177;3;40267;U16;;DeptRef;;1.0;0.0;;4
178;3;40268;U16;;V1;;1.0;0.0;% VRef;4
179;3;40269;I16;;VAr1;;1.0;0.0;;4
180;3;40270;U16;;V2;;1.0;0.0;% VRef;4
181;3;40271;I16;;VAr2;;1.0;0.0;;4
182;3;40272;U16;;V3;;1.0;0.0;% VRef;4
183;3;40273;I16;;VAr3;;1.0;0.0;Various;4
184;3;40274;U16;;V4;;1.0;0.0;;4
185;3;40275;I16;;VAr4;;1.0;0.0;;4
186;3;40276;U16;;V5;;1.0;0.0;% VRef;0
187;3;40277;I16;;VAr5;;1.0;0.0;;0
188;3;40278;U16;;V6;;1.0;0.0;% VRef;0
189;3;40279;I16;;VAr6;;1.0;0.0;;0
190;3;40280;U16;;V7;;1.0;0.0;% VRef;0
191;3;40281;I16;;VAr7;;1.0;0.0;;0
192;3;40282;U16;;V8;;1.0;0.0;% VRef;0
193;3;40283;I16;;VAr8;;1.0;0.0;;0
194;3;40284;U16;;V9;;1.0;0.0;% VRef;0
195;3;40285;I16;;VAr9;;1.0;0.0;;0
196;3;40286;U16;;V10;;1.0;0.0;% VRef;0
197;3;40287;I16;;VAr10;;1.0;0.0;;0
198;3;40288;U16;;V11;;1.0;0.0;% VRef;0
199;3;40289;I16;;VAr11;;1.0;0.0;;0
200;3;40290;U16;;V12;;1.0;0.0;% VRef;0
201;3;40291;I16;;VAr12;;1.0;0.0;;0
202;3;40292;U16;;V13;;1.0;0.0;% VRef;0
203;3;40293;I16;;VAr13;;1.0;0.0;;0
204;3;40294;U16;;V14;;1.0;0.0;% VRef;0
205;3;40295;I16;;VAr14;;1.0;0.0;;0
206;3;40296;U16;;V15;;1.0;0.0;% VRef;0
207;3;40297;I16;;VAr15;;1.0;0.0;;0
208;3;40298;U16;;V16;;1.0;0.0;% VRef;0
209;3;40299;I16;;VAr16;;1.0;0.0;;0
210;3;40300;U16;;V17;;1.0;0.0;% VRef;0
211;3;40301;I16;;VAr17;;1.0;0.0;;0
212;3;40302;U16;;V18;;1.0;0.0;% VRef;0
213;3;40303;I16;;VAr18;;1.0;0.0;;0
214;3;40304;U16;;V19;;1.0;0.0;% VRef;0
215;3;40305;I16;;VAr19;;1.0;0.0;;0
216;3;40306;U16;;V20;;1.0;0.0;% VRef;0
217;3;40307;I16;;VAr20;;1.0;0.0;;0
218;3;40308_8;STRING;;CrvNam;;1.0;0.0;;0
219;3;40316;U16;;RmpTms;;1.0;0.0;Secs;0
220;3;40317;U16;;RmpDecTmm;;1.0;0.0;% ref_value/min;0
221;3;40318;U16;;RmpIncTmm;;1.0;0.0;% ref_value/min;0
222;3;40319;U16;;ReadOnly;;1.0;0.0;;4
223;3;40320;U16;;ID;;1.0;0.0;;4
224;3;40321;U16;;L;;1.0;0.0;;4
225;3;40322;U16;;WGra;;1.0;0.0;% PM/Hz;4
226;3;40323;I16;;HzStr;;1.0;0.0;Hz;4
227;3;40324;I16;;HzStop;;1.0;0.0;Hz;4
228;3;40325;U16;;HysEna;;1.0;0.0;;0
229;3;40326;U16;;ModEna;;1.0;0.0;;4
230;3;40327;U16;;HzStopWGra;;1.0;0.0;% WMax/min;4
231;3;40328;I16;;WGra_SF;;1.0;0.0;;4
232;3;40329;I16;;HzStrStop_SF;;1.0;0.0;;4
233;3;40330;I16;;RmpIncDec_SF;;1.0;0.0;;4
234;3;40331;U16;;Pad;;1.0;0.0;;4
235;3;40332;U16;;ID;;1.0;0.0;;4
236;3;40333;U16;;L;;1.0;0.0;;4
237;3;40334;U16;;ArGraMod;;1.0;0.0;;4
238;3;40335;U16;;ArGraSag;;1.0;0.0;%ARtg/%dV;4
239;3;40336;U16;;ArGraSwell;;1.0;0.0;%ARtg/%dV;4
240;3;40337;U16;;ModEna;;1.0;0.0;;4
241;3;40338;U16;;FilTms;;1.0;0.0;Secs;0
242;3;40339;U16;;DbVMin;;1.0;0.0;% VRef;4
243;3;40340;U16;;DbVMax;;1.0;0.0;% VRef;4
244;3;40341;U16;;BlkZnV;;1.0;0.0;% VRef;0
245;3;40342;U16;;HysBlkZnV;;1.0;0.0;% VRef;0
246;3;40343;U16;;BlkZnTmms;;1.0;0.0;mSecs;4
247;3;40344;U16;;HoldTmms;;1.0;0.0;mSecs;0
248;3;40345;I16;;ArGra_SF;;1.0;0.0;;4
249;3;40346;I16;;VRefPct_SF;;1.0;0.0;;4
250;3;40347;U16;;Pad;;1.0;0.0;;4
251;3;40348;U16;;ID;;1.0;0.0;;4
252;3;40349;U16;;L;;1.0;0.0;;4
253;3;40350;U16;;ActCrv;;1.0;0.0;;4
254;3;40351;U16;;ModEna;;1.0;0.0;;4
255;3;40352;U16;;WinTms;;1.0;0.0;Secs;0
256;3;40353;U16;;RvrtTms;;1.0;0.0;Secs;0
257;3;40354;U16;;RmpTms;;1.0;0.0;Secs;0
258;3;40355;U16;;NCrv;;1.0;0.0;;4
259;3;40356;U16;;NPt;;1.0;0.0;;4
260;3;40357;I16;;Tms_SF;;1.0;0.0;;4
261;3;40358;I16;;V_SF;;1.0;0.0;;4
262;3;40359;U16;;Pad;;1.0;0.0;;4
263;3;40360;U16;;ActPt;;1.0;0.0;;4
264;3;40361;U16;;Tms1;;1.0;0.0;Secs;4
265;3;40362;U16;;V1;;1.0;0.0;% VRef;4
266;3;40363;U16;;Tms2;;1.0;0.0;Secs;4
267;3;40364;U16;;V2;;1.0;0.0;% VRef;4
268;3;40365;U16;;Tms3;;1.0;0.0;Secs;4
269;3;40366;U16;;V3;;1.0;0.0;% VRef;4
270;3;40367;U16;;Tms4;;1.0;0.0;Secs;0
271;3;40368;U16;;V4;;1.0;0.0;% VRef;0
272;3;40369;U16;;Tms5;;1.0;0.0;Secs;0
273;3;40370;U16;;V5;;1.0;0.0;% VRef;0
274;3;40371;U16;;Tms6;;1.0;0.0;Secs;0
275;3;40372;U16;;V6;;1.0;0.0;% VRef;0
276;3;40373;U16;;Tms7;;1.0;0.0;Secs;0
277;3;40374;U16;;V7;;1.0;0.0;% VRef;0
278;3;40375;U16;;Tms8;;1.0;0.0;Secs;0
279;3;40376;U16;;V8;;1.0;0.0;% VRef;0
280;3;40377;U16;;Tms9;;1.0;0.0;Secs;0
281;3;40378;U16;;V9;;1.0;0.0;% VRef;0
282;3;40379;U16;;Tms10;;1.0;0.0;Secs;0
283;3;40380;U16;;V10;;1.0;0.0;% VRef;0
284;3;40381;U16;;Tms11;;1.0;0.0;Secs;0
285;3;40382;U16;;V11;;1.0;0.0;% VRef;0
286;3;40383;U16;;Tms12;;1.0;0.0;Secs;0
287;3;40384;U16;;V12;;1.0;0.0;% VRef;0
288;3;40385;U16;;Tms13;;1.0;0.0;Secs;0
289;3;40386;U16;;V13;;1.0;0.0;% VRef;0
290;3;40387;U16;;Tms14;;1.0;0.0;Secs;0
291;3;40388;U16;;V14;;1.0;0.0;% VRef;0
292;3;40389;U16;;Tms15;;1.0;0.0;Secs;0
293;3;40390;U16;;V15;;1.0;0.0;% VRef;0
294;3;40391;U16;;Tms16;;1.0;0.0;Secs;0
295;3;40392;U16;;V16;;1.0;0.0;% VRef;0
296;3;40393;U16;;Tms17;;1.0;0.0;Secs;0
297;3;40394;U16;;V17;;1.0;0.0;% VRef;0
298;3;40395;U16;;Tms18;;1.0;0.0;Secs;0
299;3;40396;U16;;V18;;1.0;0.0;% VRef;0
300;3;40397;U16;;Tms19;;1.0;0.0;Secs;0
301;3;40398;U16;;V19;;1.0;0.0;% VRef;0
302;3;40399;U16;;Tms20;;1.0;0.0;Secs;0
303;3;40400;U16;;V20;;1.0;0.0;% VRef;0
304;3;40401_8;STRING;;CrvNam;;1.0;0.0;;0
305;3;40409;U16;;ReadOnly;;1.0;0.0;;4
306;3;40410;U16;;ID;;1.0;0.0;;4
307;3;40411;U16;;L;;1.0;0.0;;4
308;3;40412;U16;;ActCrv;;1.0;0.0;;4
309;3;40413;U16;;ModEna;;1.0;0.0;;4
310;3;40414;U16;;WinTms;;1.0;0.0;Secs;0
311;3;40415;U16;;RvrtTms;;1.0;0.0;Secs;0
312;3;40416;U16;;RmpTms;;1.0;0.0;Secs;0
313;3;40417;U16;;NCrv;;1.0;0.0;;4
314;3;40418;U16;;NPt;;1.0;0.0;;4
315;3;40419;I16;;Tms_SF;;1.0;0.0;;4
316;3;40420;I16;;V_SF;;1.0;0.0;;4
317;3;40421;U16;;Pad;;1.0;0.0;;4
318;3;40422;U16;;ActPt;;1.0;0.0;;4
319;3;40423;U16;;Tms1;;1.0;0.0;Secs;4
320;3;40424;U16;;V1;;1.0;0.0;% VRef;4
321;3;40425;U16;;Tms2;;1.0;0.0;Secs;4
322;3;40426;U16;;V2;;1.0;0.0;% VRef;4
323;3;40427;U16;;Tms3;;1.0;0.0;Secs;0
324;3;40428;U16;;V3;;1.0;0.0;% VRef;0
325;3;40429;U16;;Tms4;;1.0;0.0;Secs;0
326;3;40430;U16;;V4;;1.0;0.0;% VRef;0
327;3;40431;U16;;Tms5;;1.0;0.0;Secs;0
328;3;40432;U16;;V5;;1.0;0.0;% VRef;0
329;3;40433;U16;;Tms6;;1.0;0.0;Secs;0
330;3;40434;U16;;V6;;1.0;0.0;% VRef;0
331;3;40435;U16;;Tms7;;1.0;0.0;Secs;0
332;3;40436;U16;;V7;;1.0;0.0;% VRef;0
333;3;40437;U16;;Tms8;;1.0;0.0;Secs;0
334;3;40438;U16;;V8;;1.0;0.0;% VRef;0
335;3;40439;U16;;Tms9;;1.0;0.0;Secs;0
336;3;40440;U16;;V9;;1.0;0.0;% VRef;0
337;3;40441;U16;;Tms10;;1.0;0.0;Secs;0
338;3;40442;U16;;V10;;1.0;0.0;% VRef;0
339;3;40443;U16;;Tms11;;1.0;0.0;Secs;0
340;3;40444;U16;;V11;;1.0;0.0;% VRef;0
341;3;40445;U16;;Tms12;;1.0;0.0;Secs;0
342;3;40446;U16;;V12;;1.0;0.0;% VRef;0
343;3;40447;U16;;Tms13;;1.0;0.0;Secs;0
344;3;40448;U16;;V13;;1.0;0.0;% VRef;0
345;3;40449;U16;;Tms14;;1.0;0.0;Secs;0
346;3;40450;U16;;V14;;1.0;0.0;% VRef;0
347;3;40451;U16;;Tms15;;1.0;0.0;Secs;0
348;3;40452;U16;;V15;;1.0;0.0;% VRef;0
349;3;40453;U16;;Tms16;;1.0;0.0;Secs;0
350;3;40454;U16;;V16;;1.0;0.0;% VRef;0
351;3;40455;U16;;Tms17;;1.0;0.0;Secs;0
352;3;40456;U16;;V17;;1.0;0.0;% VRef;0
353;3;40457;U16;;Tms18;;1.0;0.0;Secs;0
354;3;40458;U16;;V18;;1.0;0.0;% VRef;0
355;3;40459;U16;;Tms19;;1.0;0.0;Secs;0
356;3;40460;U16;;V19;;1.0;0.0;% VRef;0
357;3;40461;U16;;Tms20;;1.0;0.0;Secs;0
358;3;40462;U16;;V20;;1.0;0.0;% VRef;0
359;3;40463_8;STRING;;CrvNam;;1.0;0.0;;0
360;3;40471;U16;;ReadOnly;;1.0;0.0;;4
361;3;40472;U16;;ID;;1.0;0.0;;4
362;3;40473;U16;;L;;1.0;0.0;;4
363;3;40474;U16;;ActCrv;;1.0;0.0;;4
364;3;40475;U16;;ModEna;;1.0;0.0;;4
365;3;40476;U16;;WinTms;;1.0;0.0;Secs;0
366;3;40477;U16;;RvrtTms;;1.0;0.0;Secs;0
367;3;40478;U16;;RmpTms;;1.0;0.0;Secs;0
368;3;40479;U16;;NCrv;;1.0;0.0;;4
369;3;40480;U16;;NPt;;1.0;0.0;;4
370;3;40481;I16;;W_SF;;1.0;0.0;;4
371;3;40482;I16;;PF_SF;;1.0;0.0;;4
372;3;40483;I16;;RmpIncDec_SF;;1.0;0.0;;0
373;3;40484;U16;;ActPt;;1.0;0.0;;4
374;3;40485;I16;;W1;;1.0;0.0;% WMax;4
375;3;40486;I16;;PF1;;1.0;0.0;cos();4
376;3;40487;I16;;W2;;1.0;0.0;% WMax;4
377;3;40488;I16;;PF2;;1.0;0.0;cos();4
378;3;40489;I16;;W3;;1.0;0.0;% WMax;0
379;3;40490;I16;;PF3;;1.0;0.0;cos();0
380;3;40491;I16;;W4;;1.0;0.0;% WMax;0
381;3;40492;I16;;PF4;;1.0;0.0;cos();0
382;3;40493;I16;;W5;;1.0;0.0;% WMax;0
383;3;40494;I16;;PF5;;1.0;0.0;cos();0
384;3;40495;I16;;W6;;1.0;0.0;% WMax;0
385;3;40496;I16;;PF6;;1.0;0.0;cos();0
386;3;40497;I16;;W7;;1.0;0.0;% WMax;0
387;3;40498;I16;;PF7;;1.0;0.0;cos();0
388;3;40499;I16;;W8;;1.0;0.0;% WMax;0
389;3;40500;I16;;PF8;;1.0;0.0;cos();0
390;3;40501;I16;;W9;;1.0;0.0;% WMax;0
391;3;40502;I16;;PF9;;1.0;0.0;cos();0
392;3;40503;I16;;W10;;1.0;0.0;% WMax;0
393;3;40504;I16;;PF10;;1.0;0.0;cos();0
394;3;40505;I16;;W11;;1.0;0.0;% WMax;0
395;3;40506;I16;;PF11;;1.0;0.0;cos();0
396;3;40507;I16;;W12;;1.0;0.0;% WMax;0
397;3;40508;I16;;PF12;;1.0;0.0;cos();0
398;3;40509;I16;;W13;;1.0;0.0;% WMax;0
399;3;40510;I16;;PF13;;1.0;0.0;cos();0
400;3;40511;I16;;W14;;1.0;0.0;% WMax;0
401;3;40512;I16;;PF14;;1.0;0.0;cos();0
402;3;40513;I16;;W15;;1.0;0.0;% WMax;0
403;3;40514;I16;;PF15;;1.0;0.0;cos();0
404;3;40515;I16;;W16;;1.0;0.0;% WMax;0
405;3;40516;I16;;PF16;;1.0;0.0;cos();0
406;3;40517;I16;;W17;;1.0;0.0;% WMax;0
407;3;40518;I16;;PF17;;1.0;0.0;cos();0
408;3;40519;I16;;W18;;1.0;0.0;% WMax;0
409;3;40520;I16;;PF18;;1.0;0.0;cos();0
410;3;40521;I16;;W19;;1.0;0.0;% WMax;0
411;3;40522;I16;;PF19;;1.0;0.0;cos();0
412;3;40523;I16;;W20;;1.0;0.0;% WMax;0
413;3;40524;I16;;PF20;;1.0;0.0;cos();0
414;3;40525_8;STRING;;CrvNam;;1.0;0.0;;0
415;3;40533;U16;;RmpPT1Tms;;1.0;0.0;Secs;4
416;3;40534;U16;;RmpDecTmm;;1.0;0.0;% PF/min;0
417;3;40535;U16;;RmpIncTmm;;1.0;0.0;% PF/min;0
418;3;40536;U16;;ReadOnly;;1.0;0.0;;4
419;3;40537;U16;;Pad;;1.0;0.0;;4
420;3;40538;U16;;ID;;1.0;0.0;;4
421;3;40539;U16;;L;;1.0;0.0;;4
422;3;40540;U16;;ActCrv;;1.0;0.0;;4
423;3;40541;U16;;ModEna;;1.0;0.0;;4
424;3;40542;U16;;WinTms;;1.0;0.0;Secs;0
425;3;40543;U16;;RvrtTms;;1.0;0.0;Secs;0
426;3;40544;U16;;RmpTms;;1.0;0.0;Secs;0
427;3;40545;U16;;NCrv;;1.0;0.0;;4
428;3;40546;U16;;NPt;;1.0;0.0;;4
429;3;40547;I16;;V_SF;;1.0;0.0;;4
430;3;40548;I16;;DeptRef_SF;;1.0;0.0;;4
431;3;40549;I16;;RmpIncDec_SF;;1.0;0.0;;0
432;3;40550;U16;;ActPt;;1.0;0.0;;4
433;3;40551;U16;;DeptRef;;1.0;0.0;;4
434;3;40552;U16;;V1;;1.0;0.0;% VRef;4
435;3;40553;I16;;W1;;1.0;0.0;% VRef;4
436;3;40554;U16;;V2;;1.0;0.0;% VRef;4
437;3;40555;I16;;W2;;1.0;0.0;% VRef;4
438;3;40556;U16;;V3;;1.0;0.0;% VRef;0
439;3;40557;I16;;W3;;1.0;0.0;% VRef;0
440;3;40558;U16;;V4;;1.0;0.0;% VRef;0
441;3;40559;I16;;W4;;1.0;0.0;% VRef;0
442;3;40560;U16;;V5;;1.0;0.0;% VRef;0
443;3;40561;I16;;W5;;1.0;0.0;% VRef;0
444;3;40562;U16;;V6;;1.0;0.0;% VRef;0
445;3;40563;I16;;W6;;1.0;0.0;% VRef;0
446;3;40564;U16;;V7;;1.0;0.0;% VRef;0
447;3;40565;I16;;W7;;1.0;0.0;% VRef;0
448;3;40566;U16;;V8;;1.0;0.0;% VRef;0
449;3;40567;I16;;W8;;1.0;0.0;% VRef;0
450;3;40568;U16;;V9;;1.0;0.0;% VRef;0
451;3;40569;I16;;W9;;1.0;0.0;% VRef;0
452;3;40570;U16;;V10;;1.0;0.0;% VRef;0
453;3;40571;I16;;W10;;1.0;0.0;% VRef;0
454;3;40572;U16;;V11;;1.0;0.0;% VRef;0
455;3;40573;I16;;W11;;1.0;0.0;% VRef;0
456;3;40574;U16;;V12;;1.0;0.0;% VRef;0
457;3;40575;I16;;W12;;1.0;0.0;% VRef;0
458;3;40576;U16;;V13;;1.0;0.0;% VRef;0
459;3;40577;I16;;W13;;1.0;0.0;% VRef;0
